who,what,isCopy2,pub,pubnum,year,discogs_url
Black Flag ,Everything Went Black,0,SST,S 015,,http://discogs.com//Greg-Ginn-Chuck-Dukowski-Dez-Cadena-Robo-3-Chavo-Pederast-Johnny-Bob-Goldstein-Everything-Went-Black/release/1143204
Black Sabbath ,Greatest Hits,0,,NEL 6009,,http://discogs.com//Black-Sabbath-Greatest-Hits/release/383038
Black Sabbath ,Master of Reality,0,,,,http://discogs.com//Black-Sabbath-Master-Of-Reality/release/3933344
Blind Faith ,Blind Faith,0,,SD 33-304B,,http://discogs.com//Blind-Faith-Blind-Faith/release/8589676
Bobbie Gentry ,Ode to Billie Joe,0,,,,http://discogs.com//Bobbie-Gentry-Ode-To-Billie-Joe/release/785044
Bobby Vinton ,All Time Greatest Hits,0,EPIC,KEG 31487,,http://discogs.com//Bobby-Vinton-Bobby-Vintons-All-Time-Greatest-Hits/release/2444207
Bob Dylan and the Band ,The Basement Tapes,0,,C2 33682,,http://discogs.com//Bob-Dylan-The-Band-The-Basement-Tapes/release/2012979
Bob Dylan ,Greatest Hits Vol II,0,,PG 31120 Stereo,,http://discogs.com//Bob-Dylan-Greatest-Hits-Volume-II/release/1807090
Bob Newhart ,The Buttondown Mind of Bob Newhart,0,,W 1379,,http://discogs.com//Bob-Newhart-The-Button-Down-Mind-Of-Bob-Newhart/release/1343341
Boss Hog,Drinkin Lechin and Lyin,0,Amphetamine Reptile Records,ARR89176-1,1994,https://www.discogs.com/label/5126-Amphetamine-Reptile-Records
Boston Pops,Good Music to Have Fun With,0,,,,http://discogs.com//Arthur-Fiedler--Boston-Pops-Good-Music-To-Have-Fun-With/release/9432185
Bruce Springsteen ,Born in the USA,0,,,,http://discogs.com//Bruce-Springsteen-Born-In-The-USA/master/26701
Bruce Springsteen ,Born to Run,0,,,,https://www.discogs.com/Bruce-Springsteen-Born-To-Run/release/5601916
Bruce Springsteen ,Darkness on the Edge of Town,0,,,,http://discogs.com//Bruce-Springsteen-Darkness-On-The-Edge-Of-Town/release/3012371
Bruce Springsteen ,Nebraska copy2,1,,,,http://discogs.com//Bruce-Springsteen-Nebraska/release/3073230
Bruce Springsteen ,Nebraska,0,,,,http://discogs.com//Bruce-Springsteen-Nebraska/release/648676
Bruce Springsteen ,The Wild The Innocent and the E Street Shuffle,0,,,,http://discogs.com//Bruce-Springsteen-The-WildInnocent-The-E-Street-Shuffle/release/2582014
Buddy Rich ,Rich in London,0,,,,http://discogs.com//Buddy-Rich-Rich-In-London/release/1898523
Buffalo Springfield ,Buffalo Springfield inner,0,,,,http://discogs.com//Buffalo-Springfield-Buffalo-Springfield/release/1319791
Buffalo Springfield ,Buffalo Springfield,0,,,,http://discogs.com//Buffalo-Springfield-Buffalo-Springfield/release/4827398
Burgess Meredith ,Everyman A Moral Play,0,,,,http://discogs.com//Burgess-Meredith-Howard-O-Sackler-Everyman-A-Moral-Play/release/5240749
Carole King ,Tapestry,0,,ODE SP 77099,,http://discogs.com//Carole-King-Tapestry/release/1395530
Casals ,Dvorak Violoncello Concerto in B Minor Op 194,0,,,,
Cat Stevens ,Buddha and the Chocolate Box,0,,,,
Cat Stevens ,Greatest Hits,0,,,,
Cat Stevens ,Tea for the Tillerman,0,,,,
Charles Mingus ,At the Bohemia,0,,OJC-045,,http://discogs.com//Charles-Mingus-Mingus-At-The-Bohemia/release/2851665
Charles Mingus ,Mingus Ah Um,0,,67464,,http://discogs.com//Charles-Mingus-Mingus-Ah-Um/release/2406012
Charles Mingus ,Mingus Mingus Mingus disc,0,,,,
Charles Mingus ,Mingus Mingus Mingus,0,,,,
Charles Mingus Quintet and Max Roach ,The Charlie Mingus Quintet Plus Max Roach,0,,OJC-440,,http://discogs.com//The-Charles-Mingus-Quintet-Max-Roach-The-Charles-Mingus-Quintet-Max-Roach/release/4368867
Charles Mingus ,Tia Juana Moods,0,,,,http://discogs.com//Charlie-Mingus-Tia-Juana-Moods/release/3580666
Charles Mingus ,Town Hall Concert 1964,0,,OJC-042,,http://discogs.com//Charles-Mingus-Town-Hall-Concert/release/2919762
Charlie Byrd ,Byrdland,0,,,,
Charlie Chan ,Original Radio Broadcasts,0,#N/A,#N/A,#N/A,
Charlie Rich ,Very Special Love Songs,0,,KE 32531,,http://discogs.com//Charlie-Rich-Very-Special-Love-Songs/release/3104531
Cher ,Greatest Hits,0,,,,
Chet Atkins ,Class Guitar,0,,,,
Chet Atkins ,Hi Fi in Focus,0,,,,
Chic ,Cest Chic,0,,,,
Chuck Sagle ,Ping Pong Percussion,0,,,,http://discogs.com//Chuck-Sagle-And-His-Orchestra-Ping-Pong-Percussion/release/1688078
Ciccolini ,Piano Music of Erik Satie,0,,,,
Circle Jerks ,Group Sex,0,,,,http://discogs.com//Circle-Jerks-Group-Sex/release/374323
Circle Jerks ,Wonderful,0,,,,http://discogs.com//Circle-Jerks-W%C3%B6nderful/release/2488220
Classica Symphony ,Schubert and Schumann Cello Concertos,0,,,,
Claude Bolling ,Suite for Chamber Orchestra and Jazz Piano Trio,0,,,,https://www.discogs.com/Claude-Bolling-English-Chamber-Orchestra-Jean-Pierre-Rampal-Suite-For-Chamber-Orchestra-And-Jazz-Pia/release/2684664
Colin Davis ,Mozart Nine Overtures,0,,,,https://www.discogs.com//Sir-Colin-DavisRoyal-Philharmonic-Orchestra-Mozart-Nine-Overtures/release/9062909
Collegium Aureum ,Bach The Six Brandenburg Concertos,0,,,,
Columbia Masterworks ,Treasure Island,0,Columbia Masterworks,MM 553,1946,http://discogs.com//Basil-Rathbone-Treasure-Island/release/10923990
Commander Cody and His Lost Planet Airmen ,Live From Deep in the Heart of Texas,0,,,,http://discogs.com//Commander-Cody-And-His-Lost-Planet-Airmen-Live-From-Deep-In-The-Heart-Of-Texas/master/211395
Commander Cody and His Lost Planet Airmen ,Live from Deep in the Heart of Texas cp3,0,,,,
Command Records ,Selections from Cha Cha Piano etc,0,,,,
Command Records ,Selections from Percussion Bongos etc,0,,,,
Commodores ,Natural High,0,,,,
Conglomeration ,Conglomeration,0,Jewel Records,LPS 395,1974,http://discogs.com//Conglomeration-Conglomeration/release/5458746
Country Joe McDonald ,War War War,0,Vanguard,,,http://discogs.com//Country-Joe-McDonald-War-War-War/release/6807786
Crazy Horse ,Crazy Horse,0,Reprise,RS6438,1971,http://discogs.com//Crazy-Horse-Crazy-Horse/release/7519251
Crosby Stills Nash and Young ,4 Way Street,0,,,,http://discogs.com//Crosby-Stills-Nash-Young-4-Way-Street/release/2986985
Dave Pell Octet ,Swingin in the Ol Corral,0,,,,http://discogs.com//Dave-Pell-Octet-Swingin-In-The-Ol-Corral/release/5583768
David Bromberg ,My Own House,0,,,,http://discogs.com//David-Bromberg-My-Own-House/release/2043155
David Byrne ,3 Big Songs,0,,,,http://discogs.com//David-Byrne-3-Big-Songs/release/668880
David Grisman ,Mondo Mando,0,,,,http://discogs.com//David-Grisman-Mondo-Mando/release/5153663
David Grisman ,Quintet 80,0,,,,http://discogs.com//David-Grisman-Quintet-80/release/2741810
